bookID,title,authors,isbn,num_pages
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,9780439785969,426
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,9780439785969,471
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,9780439785969,192
122,The Power of One (The Power of One  #1),Bryce Courtenay,9780439785969,544
123,The Power of One (The Power of One  #1),Bryce Courtenay,9780439785969,291
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,9780439785969,256
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,9780439785969,205
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,9780439785969,240
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,9780439785969,336
133,eBay for Dummies,Marsha Collier,9780439785969,386
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,9780439785969,260
137,Starting an eBay Business for Dummies,Marsha Collier,9780439785969,384
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,9780439785969,260
139,ebay Timesaving Techniques for Dummies,Marsha Collier,9780439785969,391
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,9780439785969,864
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,9780439785969,873
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,9780439785969,240
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,9780439785969,206
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,9780439785969,514
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,9780439785969,838
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,9780439785969,960
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,9780439785969,837
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,9780439785969,80
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,9780439785969,803
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,9780439785969,752
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,9780439785969,803
159,Dinner with Anna Karenina,Gloria Goldreich,9780439785969,360
160,Tolstoy: Anna Karenina,Anthony Thorlby,9780439785969,128
162,Untouchable,Mulk Raj Anand/E.M. Forster,9780439785969,160
163,The Untouchable,John Banville,9780439785969,367
164,The Untouchables,Eliot Ness/Oscar Fraley,9780439785969,256
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,9780439785969,320
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,9780439785969,100
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,9780439785969,224
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,9780439785969,216
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,9780439785969,48
180,Wrinkles in Time,George Smoot/Keay Davidson,9780439785969,360
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,9780439785969,250
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,9780439785969,32
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,9780439785969,205
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,9780439785969,367
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,9780439785969,352
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,9780439785969,320
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,9780439785969,331
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,9780439785969,244
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,9780439785969,215
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,9780439785969,191
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,9780439785969,144
231,I am Charlotte Simmons,Tom Wolfe,9780439785969,738
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,9780439785969,48
244,The Puffin Book of Nonsense Verse,Quentin Blake,9780439785969,287
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,9780439785969,217
247,Quiet Days in Clichy,Henry Miller,9780439785969,154
249,Tropic of Cancer,Henry Miller/Jiří Níl,9780439785969,318
250,Tropic of Capricorn,Henry Miller,9780439785969,348
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,9780439785969,316
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,9780439785969,506
253,The Air-Conditioned Nightmare,Henry Miller,9780439785969,292
264,The Portrait of a Lady,Henry James/Patricia Crick,9780439785969,797
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,9780439785969,635
277,Writing,Marguerite Duras,9780439785969,91
278,The War,Marguerite Duras/Barbara Bray,9780439785969,192
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,9780439785969,181
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,9780439785969,178
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,9780439785969,464
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,9780439785969,102
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,9780439785969,216
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,9780439785969,132
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,9780439785969,100
295,Treasure Island,Robert Louis Stevenson,9780439785969,311
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,9780439785969,213
297,Treasure Island,Robert Louis Stevenson,9780439785969,245
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,9780439785969,64
299,Treasure Island,Robert Louis Stevenson/Milo Winter,9780439785969,272
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,9780439785969,232
313,100 Years of Lynchings,Ralph Ginzburg,9780439785969,270
324,Cien años de soledad,Gabriel García Márquez,9780439785969,448
330,On Beyond Zebra!,Dr. Seuss,9780439785969,64
332,The Wedding Clause,Debbie Raleigh,9780439785969,256
333,The Zebra Wall,Kevin Henkes,9780439785969,147
337,El perfume: Historia de un asesino,Patrick Süskind,9780439785969,239
348,The Door Into Summer,Robert A. Heinlein,9780439785969,304
350,Stranger in a Strange Land,Robert A. Heinlein,9780439785969,528
354,To Sail Beyond the Sunset,Robert A. Heinlein,9780439785969,434
355,Job: A Comedy of Justice,Robert A. Heinlein,9780439785969,439
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,9780439785969,256
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,9780439785969,307
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,9780439785969,298
